Schema:sameAs	dc:identifier	2 schema:name	schema:description	schema:url	schema:email	Scope of the Initiative	7 rdf:type	schema:streetAddress	schema:locality	Schema:country
	673198	Institute for the Study of Knowledge Management in Education	The Institute for the Study of Knowledge Management in Education (ISKME), an independent non-profit research institute established in 2002, is a pioneer in knowledge sharing and educational innovation.	http://www.iskme.org		National	schema:Organization	323, Harvard Avenue	Half Moon Bay, CA	US
	673199	Instituto de Investigaciones y Estudios Superiores Escandinavo	E-Learning Center	http://www.iiesem.edu.mx/	rectoria@iiesem.edu.mx	National	schema:Organization			MX
	673200	Instituto Educadigital	OER Brazil	www.educadigital.org.br		National	schema:Organization		Sao Paulo	BR
http://lobid.org/oer/6152fa16-f72b-424f-9c36-abe72341a34f#!	673201	Instituto Technologico y de Estudios Superiores de Monterrey (ITESM).	Mexico's largest industrial university with 31 campus located throughout the country	http://www.itesm.mx		National	schema:Organization	Av. Eugenio Garza Sada,2501 Sur, Monterrey, Nuevo L\u00e9on		MX
	673202	INTERACTIC Project	INTERACTIC is a community of 1700 teachers. INTERACTIC is organized by twenty nine interest groups where teachers share links, learning objects and reflect on practice.	http://interactic.ning.com/		Regional	foaf:Project			PT
	673203	Interactive Physics	An interactive website teaching maths and physics	http://physicsinteractive.weebly.com		Global	schema:Service			RU
	673204	International Association of Universities	IAU, founded in 1950, is the UNESCO-based worldwide association of higher education institutions. It brings together institutions and organisations from some 120 countries for reflection and action on common concerns and collaborates with various international, regional and national bodies active in higher education.	http://www.iau-aiu.net/		Global	schema:Service	1 rue Miollis	75015 Paris	FR
	673205	International Education and Resource Network Trinidad and Tobago	iEARN (International Education and Resource Network), is a non-profit global network that enables young people to engage in collaborative educational projects using the Internet and technology in order to enhance learning and make a difference.	http://www.iearntandt.interconnection.org		National	schema:Organization	P.O. Box 1077	Port of Spain	TT
http://lobid.org/oer/4da07b04-6ff8-42ae-a5bb-bdf585967e3b#!	673206	JISC	JISC inspires UK colleges and universities in the innovative use of digital technologies, helping to maintain the UK’s position as a global leader in education.	http://www.jisc.ac.uk	 projects@jisc.ac.uk	National	schema:Organization	Brettenham House 5, Lancaster Place, WC2E 7EN	London	GB
http://lobid.org/oer/576276b0-e195-49c5-9c20-f9c995851e5a#!	673207	Johns Hopkins School of Public Health OpenCourseWare	JHSPH OCW provides access to course materials (syllibi, lecture notes, reading lists etc.) for Johns Hopkins' most popular courses. Courses are also being translated into simplified and traditional Chinese by OOPS.	http://www.jhsph.edu/	skanchan@jhsph.edu	Regional	schema:Organization	615 N. Wolfe Street	Baltimore	US
	673208	KELDAmed Project	KELDAmed is an annotated database registering free medical e-learning resources on the internet. Its entries range from text-collection to a specific case simulation. The database is a complementary service of the Library for the Medical Faculty of Mannhe	http://www.ma.uni-heidelberg.de/apps/bibl/KELDAmed/	manuela.schulz@medma.uni-heidelberg.de	National	schema:Service			DE
	673210	Klagenfurt OpenCourseWare	Inspired by MIT, and as part of a strategic eLearning initiative, Klagenfurt University supports the publication of course materials as a means to increase internal communication, external visibility and the active participation of its staff and students.	http://www.uni-klu.ac.at/ocw/inhalt/1_210.htm	ocw@uni-klu.ac.at	National	schema:Service	Graz	Vienna	AT
	673211	Knowledge Hub (KHUB) Temoa	Hosted by the Tecnológico de Monterrey, Knowledge Hub is a public, multilingual portal to selected OER. It uses metadata built by experts, faceted searching and social networking tools to help teachers and students find the best resources for their education.	http://www.temoa.info/cache/normal/khub.itesm.mx/_.html.gz		National	foaf:Project			MX
	673212	Knowledge Media Institute in Knowledge Mapping for Open Content	Open University project	http://www.open.ac.uk/		National	schema:Service			
http://lobid.org/oer/65667483-8a3c-44ac-8e9a-c8f63b5ca71b#!	673214	Kyoto-U OpenCourseWare	A member of the Japan OCW Alliance, Kyoto University OCW is a free and open publication of course materials in both Japanese and English. The goal of the OCW@KU Project is to transmit educational information from Kyoto University to the rest of the world.	http://ocw.kyoto-u.ac.jp/en/	secretariat@ceaie.edu.cn	Global	schema:Service		Kyoto	JP
	673216	LAMS	LAMS International and LAMS Foundation are both organisations managed by Macquarie University in Sydney Australia (www.mq.edu.au). The LAMS Foundation (www.lamsfoundation.org) is designed to do applied research into the impact and development of LAMS.	www.lamsfoundation.org	info@lamsfoundation.org	National	schema:Organization	NSW 2109	Sydney	AU
	673217	Learning Games Network	Xenos-ISLE is an open-source language learning portal – an online universe where people can gather and practice using a second language in natural and authentic ways through game play. Students are free to roam the world, chat and communicate with those they meet along the way.	http://www.xenos-isle.com	info@learninggamesnetwork.org	Global	schema:Service			US
	673218	Learning Resource Exchange/eQNet Project	Schools Initiative	http://eqnet.eun.org/		Global	foaf:Project	Rue de Tr\u00e8ves 61 B-1040 Brussels	Brussels	BE
	673219	Light and Matter physics and astronomy resources	Created by Benjamin Crowell, physics and astronomy professor at Fullerton College in southern California, the site offers a series of introductory physics textbooks, free to download, some astronomy learning objects, and some course materials for Dr Crowell's astronomy and physics own courses.	http://www.lightandmatter.com/index.html		Regional	schema:Service			US
	673221	LoLa Exchange	The aim of the LoLa project is to help staff at Wesleyan University keep track of the Learning Objects that they are developing, and to present them in a common environment.	http://www.lolaexchange.org/		National	foaf:Project			US
	673222	Managing the Digital Enterprise	An educational site created by Michael Rappa, Professor of Technology Management and Director of the Open Courseware Laboratory in the College of Management at North Carolina State University. The site surveys the many opportunities and challenges manager.	http://digitalenterprise.org/		National	schema:Service			US
	673224	Mashhad University of Medical Sciences	A Medical University	http://www.mums.ac.ir/en	hassanravani@yahoo.com	Regional	schema:Organization	Daneshgah Avenue	Mashhad	IR
	673225	Math Future	A community of communities for mathematics educators	http://mathfuture.wikispaces.com	mathfuture@googlegroups.com	Global	schema:Organization			US
	673226	Open University of Mauritius	An Open University specialising in distance and open learning	http://www.open.ac.mu/		National	schema:Organization			MU
http://lobid.org/oer/1b25cbaa-00ac-46ff-9e96-be00feb10ed4#!	673228	MERLOT (Multimedia Educational Resource for Learning and Online Teaching)	A free and open resource designed primarily for faculty and students of higher education. Specifically, MERLOT is a continually growing catalogue of online learning materials, peer reviews, learning assignments, and user comments, organized by discipline into specific discipline communities and created to help faculty enhance their instruction, that anyone can use for free.	http://www.merlot.org/merlot/index.htm		Regional	schema:Service		CA	US
http://lobid.org/oer/1c747de7-a248-4100-abe8-681ab68c3293#!	673229	METU OCW	An Open Source Content Repository	http://ocw.metu.edu.tr		Institutional	schema:Service	Universiteler Mah.Dumlupinar Blv, N\u00b0 1, 06800 Cankaya	Ankara	TR
	673231	MIA (Marxists Internet Archive)	A digital library since 1990 with archivists from 33 different countries. MIA contains the writings of 592 authors representing a complete spectrum of political, philosophical, and scientific thought, generally spanning the past 200 years.	http://www.marxists.org/	mia-contact@marxists.org	Global	schema:Service			US
	673232	MIT BLOSSOMS	"MIT BLOSSOMS is a repository of ""interactive"" math and science learning videos for high school classes around the world, created by expert educators worldwide.  BLOSSOMS video lessons are enriching students' learning experiences in high school classrooms from Brooklyn to Beirut to Bangalore. Our Video Library contains over 50 math and science lessons, all freely available to teachers as streaming video and Internet downloads and as DVDs and videotapes."	http://blossoms.mit.edu		Global	schema:Service			US
http://lobid.org/oer/e202534a-7859-412c-b4f8-8fee51589262#!	673233	MIT Open Courseware	MIT OCW is a free and open educational resource for educators, students, and self-learners around the world and provides a web-based publication of MIT course materials.	http://ocw.mit.edu/about/	yng@mit.edu	Global	schema:Service		Cambridge	US
http://lobid.org/oer/97c1cfed-2cf4-42b0-a29e-b8dec3079ad7#!	673234	MITE	Monterey Institute for Technology and Education is building the next generation of instructional materials to support U.S. community college developmental mathematics courses.	http://www.montereyinstitute.org		National	schema:Organization		CA	US
	673235	Molecular Workbench	As a free, open-source and extensible modeling platform, it provides not only a powerful environment for creating interactive simulations (including molecular simulations, mechanical simulations and discrete-element simulations), but also an easy-to-use authoring tool for building user Interfaces and writing guided activities.	http://mw.concord.org/modeler/		National	schema:Service			US
	673236	National Repository of Online Courses (NROC)	A growing library of high-quality online courses for students and faculty in higher education, high school and Advanced Placement. Courses in the NROC library are contributed by developers from leading online-learning programmes across the US.	http://www.montereyinstitute.org/nroc/	info@montereyinstitute.org	National	schema:Service		San Franciso, CA	US
	673237	Moodle CMS	Moodle has a large and diverse user community with over half a million registered users on this site alone, speaking over 75 languages in 193 countries. Moodle has a long list of developers who contribute towards the development of Moodle.	http://moodle.org/		Global	schema:Service		London	US
	673238	MoodleRooms	Moodlerooms is an education technology company dedicated to bringing excellent online teaching to institutions across the globe.  We serve colleges and universities, schools and organizations by supporting the software that educators use to manage and deliver instructional content to learners in online classrooms.  Headquartered in Baltimore, Maryland, we are proud to be a Moodle Partner company and strategically partnered with Blackboard, Inc., a global leader in enterprise technology and innovative solutions.	http://www.moodlerooms.com		Global	schema:Organization	190 West Ostende Street, Suite 110	Baltimore, MA	US
	673239	Moscow University of Finance and Law	Under the jurisdiction of the Ministry of Education and Science of the Russian Federation	http://www.mfua.ru		Regional	schema:Service	B.Cheremushkinskaya st., 17a, bl.6	117447, Moscow	RU
	673240	My Textbooks	"The project is formally called the ""Accessible Resources Pilot Project"". It was funded by the Department for Children, Schools and Families (DCSF, now DfE). The Dolphin Inclusive Consortium won the tender for the project. The project ran throughout the 2009/2010 school year, and a final report of findings and recommendations was be submitted to the DfE in January 2011."	http://www.altformat.org/mytextbook/	noel.dolphin@btinternet.com	National	foaf:Project		Southampton	GB
	673241	NARCIS (National Academic Research and Collaborations Information System)	Developed to increase the visibility and retrievability of Dutch scientific research, NARCIS provides access to scientific information consisting of (full-text) publications from all Dutch universities, KNAW, NWO and a number of research institutes.	http://www.narcis.nl/	narcis@dans.knaw.nl	Regional	schema:Service		Amsterdam	NL
	673243	National Programme on Technology Enhanced Learning (NPTEL)	Launched in September 2006, NPTEL is a joint venture of seven Indian Institutes of Technology (IITs) and the Indian Institute of Science Bangalore, funded by the Indian Ministry of Human Resource Development. NPTEL provides E-learning through online Web and Video courses in Engineering, Science and humanities streams. The mission of NPTEL is to enhance the quality of Engineering education in the country by providing free online courseware.	http://www.nptel.ac.in/		National	schema:Service			IN
	673246	MUSE – Science Museum of Trento		http://www.muse.it/		Regional	schema:Service		Trento	IT
	673247	Scitable by Nature Education	Scitable is a free online teaching/learning portal combining high quality educational articles with technology-based community features to fuel a global exchange of scientific insights, teaching practices, and study resources. Scitable currently contains scientist-authored educational articles in the fields of genetics, cell biology and ecology, and is intended for undergraduate faculty and students. Short eBooks on basic science as well as scientific communication and careers help readers connect across disciplines and imagine a future of science participation. Scitable's blog and forum network features a community of both students and professors connecting readers to science news topics, videos and podcasts. Since its initial launch, Scitable has grown to over one million registered users and over five million visits each year by students and faculty in more than 180 countries. Future plans involve extension of Scitable to other fields within the life sciences, as well as to other audiences. 	www.nature.com/scitable		Global	schema:Service		Cambridge, MA	US
	673248	NDLR-The National Digital Learning Repository	"The NDLR mission is ""to promote and support Higher Education sector staff in the collaboration development and sharing of learning resources and associated teaching practices"".

A key impact of the NDLR service is to support greater collaboration in developing and sharing of digital teaching resources and associated teaching experience across all subject disciplines and communities of academics and to promote good practice use and re-use of existing resources."	http://www.ndlr.ie/	catherine.bruen@tcd.ie	National	schema:Service	trinity College	Dublin	IE
	673249	NEEDS (National Engineering Education Delivery System)	A digital library of learning resources for engineering education. NEEDS provides web-based access to a database of learning resources where learners and instructors can search for, locate, download and comment on resources to aid their learning or teaching process.	http://www.needs.org/needs/		National	schema:Service		Berkeley, CA	US
	673251	Next Vista Learning	Next Vista For Learning provides a library of free videos made by and for teachers and students everywhere.	http://www.nextvista.org	rushton@gmail.com	National	schema:Service			US
	673252	NIACE	The National Institute for Adults in Continuing Education	http://www.niace.org.uk		National	schema:Organization	De Montfort Street	Leicester	GB
	673253	NIXTY	Learning Platform	http://www.nixty.com		Global	schema:Service	1040 Camino Real South	Virginia Beach	US
	673255	NSDL (National Science Digital Library)	Created by the US National Science Foundation to provide organized access to high quality resources and tools that support innovations in teaching and learning at all levels of science, technology, engineering, and mathematics education.	http://nsdl.org/		National	schema:Service		CO	US
	673257	OAIster OCLC	OAIster is a union catalog of millions of records representing open access resources that was built by harvesting from open access collections worldwide using the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH). Today, OAIster includes more than 30 million records representing digital resources from more than 1,500 contributor	http://oaister.worldcat.org/	oclc@oclc.org	National	schema:Service	6565 Kilgour Place	Dublin, OH	US
	673258	OEDB - Online Education Database	Open Education Database is the most comprehensive collection of online college rankings and free courses anywhere online. We welcome learners of all levels to explore their interests and prepare for exciting new careers, build on existing foundations of education and experience, or just satisfy a craving to learn something completely new.	http://oedb.org/		National	schema:Service			US
	673259	OEPP Open Educational Pilot Project	Funded by JISC/HEA, the HEA Engineering Subject Centre are running a pilot programme to support OER	http://www.engsc.ac.uk/an/oer-project/oer-project.asp		National	foaf:Project		Loughborough	GB
	673260	OER Africa	OER Africa is an innovative initiative established by SAIDE to play a leading role in driving the development and use of OER across all education sectors on the African continent.	http://www.oerafrica.org		Regional	schema:Organization		Johannesburg	ZA
	673261	OER Brazil	Based in Sao Paolo	http://rea.net.br	reanetbr@gmail.com	National	schema:Organization	House of Digital Culture	Sao Paolo	BR
	673263	OER Foundation	The Open Education Resource (OER) Foundation is an independent, not-for-profit organisation that provides leadership, international networking and support for educators and educational institutions to achieve their objectives through Open Education.	http://oerfoundation.org		Global	schema:Organization		Otago	NZ
	673264	OER Research in Australia	Investigation on the adoption, use and management of OER to enhance teaching and learning in Australia	http://wikiresearcher.org/OER_in_Australia	cbossu3@une.edu.au	National	schema:Organization	Room 236, Education Building University of New England	Armidale  NSW 2351	AU
	673266	OERu	The OERu makes higher education accessible to everyone. Coordinated by the OER Foundation, an independent,  not-for-profit organisation, the OERu network of institutions offers free online courses for students worldwide. The OERu partners also provide affordable ways for learners to gain academic credit towards qualifications from recognised institutions.	http://oeru.org/		National	schema:Service			
	673267	OER4 Schools Project	The initiative assessed the feasibility of providing Open Educational Resources (OER) to ICT- and Internet-equipped primary schools in Zambia, and is supporting interactive forms of subject pedagogy with the new resources. It also identifies the needs of school-based professional development adapted to the local context.	http://www.educ.cam.ac.uk/centres/cce/initiatives/projects/ictzambia/		Institutional	schema:Organization		Cambridge	GB
	673268	OERP	The brOME open educational resources project was funded by The Joint Information Systems Committee (JISC) and The Higher Education Authority (HEA) in conjunction with Bradford University. The content featured on the site is focused upon legal education and is mirrored on a number of other “formal” institutional sites. 	http://mvanhoor.co.uk/wordpressoer/	ced-sec@bradford.ac.uk	Institutional	schema:Service		Bradford	GB
	673270	Realizing Education's Potential Institute		http://realizingeducationspotential.org		Global	schema:Organization			US
	673271	OOER	The OOER project proposes to open up the process to a wider constituency and encourage sharing more openly, as well as reveal existing good practice in medicine, dentistry and veterinary medicine in UK HE.	http://www.medev.ac.uk/		National	schema:Organization		Newcastle	GB
	673272	OOPS (Opensource Opencourseware Prototype System)	A volunteer-based grassroots project, created by Lucifer Chu, a Chinese translator, and launched in February 2004. OOPS aims to localize MIT's OCW - and other institutional course publication initiatives - into both simplified and traditional Chinese	http://oops.editme.com/	grace.mf.lin@gmail.com	National	schema:Service			US
	673274	Open Content Employability Project OCEP	The Open Content Employability project (OCEP) is funded by the institutional strand of the HEFCE/JISC/HEA will deliver a minimum of 360 CATS points of undergraduate open education resources.	http://www.jisc.ac.uk/whatwedo/programmes/elearning/oer/ocep.aspx		Institutional	foaf:Project			GB
http://lobid.org/oer/88feda8d-73bc-4b26-84be-f39687c31a04#!	673275	Open CourseWare Consortium	The OpenCourseWare Consortium is a collaboration of higher education institutions and associated organizations from around the world creating a broad and deep body od open educational content using a shared model.A collaboration of more than 100 higher ed	http://www.ocwconsortium.org/		Regional	schema:Organization		Newton, MA	US
	673276	Open Courseware Laboratory	Founded at North Carolina State University in 1998 by Professor Michael Rappa, the mission of the Open Courseware Lab is to invent novel ways of using the Internet to promote the open exchange of knowledge within the academic community.	http://open.ncsu.edu/		Institutional	schema:Organization			US
	673279	Open Educational Repository in Support of Computer Science	The Information systems &amp; Computer Science (ICS) Open Educational Resources (OER) project is part of a wider initiative funded by JISC &amp; the HEA, to showcase UK Higher Education by encouraging teachers within HE institutions to publish excellent teaching and learning resources openly on the web.	http://www.ics.heacademy.ac.uk/projects/oer/index.php		National	foaf:Project			GB
	673281	Open Learn	The OpenLearn website gives free access to learning materials from higher education courses.  OpenLearn’s LabSpace makes many different open educational resources (OER) available to you from a wider OER community associated with The Open University.	http://labspace.open.ac.uk/		National	schema:Service			KR
	673282	Open Learning Environment for Low Countries Early Modern History	This project is funded by JISC and Higher Education Academy, and aims to turn a comprehensive survey course in Early Modern Low Countries history, from the late Middle Ages to the end of the 18th century, into a multimedia and Web 2.0 enriched Open Educational Resource (OER)	http://www.ucl.ac.uk/alternative-languages/OER/		National	foaf:Project			GB
	673283	Open Learning Exchange	OLE is developing a worldwide network of 100+ local grassroots organizations [OLE Centers] committed to providing universal basic education in their nation by 2015. OLE assists its Centers in organizing curricula, outreach, and financing	http://www.ole.org	info@ole.org	Institutional	schema:Organization			US
	673284	Open Learning Library	E-Learning Platform for Information Science 	http://www.oll.ro		National	schema:Service		Bucharest	RO
	673285	Open Learning Network (OLnet)	OLnet is an international research hub for aggregating, sharing, debating and improving Open Educational Resources (OER). The aim of OLnet is to gather evidence and methods about how we can research and understand ways to learn in a more open world, particularly linked to OER, but also looking at other influences. We want to gather evidence together, but also spot the ideas that people see emerging from the opportunities.	http://olnet.org		Global	schema:Organization			GB
	673286	Open Nottingham	"In implementing the Open Nottingham programme, the University of Nottingham has strategically embraced an agenda of open access to teaching.

With benefits such as efficiency savings, promotional opportunities and enhancement of the student experience, Open Nottingham is designed to foster increased use, reuse and publication of Open Educational Resources (OER) by staff and students across the university."	http://www.nottingham.ac.uk/open		Institutional	schema:Service			GB
	673287	Open of Course	Multilingual portal for free and open content courses and tutorials, created by two Dutch companies, Mingos and Freelancenetwerk. The focus is on creating and publishing lifeskills and career development courses, rather than purely academic subjects.	http://open-of-course.org/courses/	info@open-of-course.org	Regional	schema:Service			NL
	673288	Open Scholarship at UQ	"A key goal of the initiative is to consider whether open scholarship in its various dimensions represents or should represent a core value in the statement of the principles underpinning a UQ education.  Does this approach to knowledge creation and dissemination reflect the UQ Advantage as a research institution?

Much of the material on the Internet, and especially in the WWW, is freely accessible. For instance, we take it for granted that our browsers will be free: Internet Explorer, Firefox, Safari, Chrome and others.  \Openâ€ covers many kinds of things: courses"	http://ceit.uq.edu.au/content/open-scholarship-uq		Institutional	schema:Service	University of Queensland	Brisbane	AU
	673289	Open Schooling	Open schools are increasingly recognised as a solution to the growing demand for secondary school education in developing countries. Open schooling is defined by (1) physical separation of the learner from the teacher	http://www.col.org/progServ/programmes/education/openschooling/Pages/default.aspx		Institutional	foaf:Project			US
	673290	Open Society Foundations	The Open Society Foundations work to build vibrant and tolerant democracies whose governments are accountable to their citizens. To achieve this mission, the Foundations seek to shape public policies that assure greater fairness in political, legal.	http://www.soros.org/		Global	schema:Organization		New York	US
	673291	Open Source Initiative	The OSI is actively involved in Open Source community-building and education. OSI Board members frequently travel the world to attend Open Source conferences and events, meet with open source developers and users, and to discuss with executives	http://www.opensource.org/	osi@opensource.org	Institutional	schema:Organization			US
	673292	California Open Source Textbook Project (COSTP)	The California Open Source Textbook Project (COSTP) began in 2001 as a collaborative - a public/private undertaking; it was the first organization created to address the high cost, content range, and consistent shortages of K-12 textbooks in California. The latter goal is currently well on its way to being accomplished. COSTP has evolved over recent years to establish and spread the Open Textbook, Open Educational Resource (OER), Open Courseware, and Open Education memes to K-12 and postsecondary educational institutions, worldwide.	http://www.opensourcetext.org/	sforte@opensourcetext.org	Institutional	schema:Organization		California	US
	673293	Open Spires	"OpenSpires makes Oxford podcasts available as Open Content Resources (OER); content that is available for reuse and redistribution by third parties globally, provided that it is used in a non-commercial way and is attributed to its creator.

OpenSpires: Inspirational Open Content from Oxford University is a project led by the Learning Technologies Group, Oxford University Computing Services, University of Oxford."	http://openspires.oucs.ox.ac.uk	podcasts@oucs.ox.ac.uk	Institutional	schema:Service	http:\/\/www.ox.ac.uk		GB
	673294	Open UCF	The pilot project, which will be launched in March 2010, will initially release educational resources used in MA Professional Writing's Distance Learning course (total of 20 postgraduate credits) under Creative Commons.	http://learningspace.falmouth.ac.uk/course/view.php?id=739		Institutional	foaf:Project			GB
	673295	Open Universities Australia	Australian Open University	http://www.open.edu.au/		National	schema:Organization		Melbourne, Victoria	AU
http://lobid.org/oer/636ffdf2-94ff-4b2c-9eae-a870f4ae6a96#!	673296	Open University	Open University	http://www.open.ac.uk/		National	schema:Organization		Milton Keynes	GB
	673297	The Open University of China	CHINA's OU	http://crtvu.edu.cn	sfb@crtvu.edu.cn	National	schema:Organization	160 Fuwingmennai  Dajie	Beijing	CN
http://lobid.org/oer/b81b9000-fc54-4f34-a189-e76a16058e39#!	673298	Open University of Indonesia	Open University	http://www.ut.ac.id/		National	schema:Organization			ID
	673301	Open Yale Courses	Free and open access to seven introductory undergraduate Yale courses. Each course includes a full set of video lectures, plus other course materials such as syllabi, suggested readings and problem sets. The lectures are available to download in video	http://oyc.yale.edu/	open.courses.support@yale.edu	Institutional	schema:Service			US
	673302	OpenCourse.org	A free collaboration platform for educators. OpenCourse.org hosts virtual communities that develop, evaluate and use open, non-proprietary learning objects in their discipline. Anyone is free to join an existing community, start a collobaration	http://opencourse.org/		Institutional	schema:Organization			US
	673303	OpenCourseWare-Repositories	List of open courseware initiatives from around the world created by Marc Jelitto, a PhD student of the Institut für Umweltkommunikation of the Lüneburg University.	http://marcjelitto.de/lernobje/kursrep.htm		Institutional	schema:Service			DE
	673304	OpenER	The OpenER project introduced OER as a means of increasing the Dutch population's participation in higher education by offering courses derived from existing distance learning courses that are suitable for independent study.	http://www.ou.nl/eCache/DEF/2/19/943.html		Institutional	schema:Service			NL
	673305	OpenExeter	Open Exeter is a JISC-funded project to release existing learning resources as OER, under a suitable license for content use and reuse.	http://as.exeter.ac.uk/library/resources/openaccess/openexeter/		Institutional	foaf:Project			GB
http://lobid.org/oer/0e573f32-fdb1-4b70-ad4d-41491644746e#!	673306	OpenLearn	The home of free and open learning from The Open University (OU) in the United Kingdom. OpenLearn is a hub of OER activity from around the OU and incorporates iTunes-U and YouTube content.	http://www.open.edu/openlearn/	openlearn@open.ac.uk	National	schema:Service			GB
	673307	OpenScout	Initiative for OER for Management and Business	http://www.openscout.net	jan.pawlowski@jyu.fi	Global	schema:Organization			PL
	673308	OpenStaffs Project	A HEFCE/JISC/HEA sponsored project to deposit high quality educational resources, in different formats, in the University learning repository and develop policies and procedures to retrieve and repurpose learning objects internally and externally.	http://www.staffs.ac.uk/about_us/projects/openstaffs/		Institutional	foaf:Project			GB
http://lobid.org/oer/2db7ec39-7734-463a-be37-d187f01ec330#!	673309	Osaka University Open Courseware	A member of the Japan OCW Alliance, Osaka Open Courseware is a collection of Osaka University's educational materials used in the courses taught at the University. Courses available reflect the University's bias towards the sciences and are available	http://ocw.osaka-u.ac.jp/	ki-kousyagaku-kouhou@office.osaka-u.ac.jp	Institutional	schema:Service			JP
	673310	Otago Polytechnic	A resource for free, open education	http://www.otagopolytechnic.ac.nz/		Global	schema:Organization	Fourth Street	Dunedin	NZ
	673311	OTTER	The OTTER project at the University of Leicester – funded by JISC and the Higher Education Academy – enables, pilots and evaluates systems and processes designed to enable individuals, teams and departments to release high-quality open educational resources (OERs) for free access, reuse and repurposing by others under an appropriate open licence, in perpetuity.	http://www2.le.ac.uk/departments/beyond-distance-research-alliance/projects/otter		Institutional	foaf:Project			GB
	673312	Peer to Peer University (P2PU)	An online community of open study groups for short university-level courses. P2PU helps self-learners navigate the wealth of OER available, creates small groups of motivated learners and supports the design and facilitation of courses.	http://www.p2pu.org/		Institutional	schema:Organization		Boston, MA	US
http://lobid.org/oer/a6396eb5-e3eb-4838-a1ab-faf58219da10#!	673314	ParisTech OpenCourseWare	A collection of teaching and learning materials, created by the faculty of the 11 French engineering schools that make up the ParisTech consortium, and used for their own classroom teaching.	http://graduateschool.paristech.fr/index.php?type=cours		Institutional	schema:Service			FR
	673315	Pedagogy.ir	pedagogy.ir (founded on July 2005 in Tehran, Iran), as an Open Educational Resources (OER) initiative, is an independent knowledge based expert network towards Lifelong Learning in Knowledge Society.	http://www.pedagogy.ir		Institutional	schema:Organization		Tehran	IR
http://lobid.org/oer/e890265e-74a9-4b37-83d6-fdb97420bc9e#!	673317	PE'ER	"PE’ER Project - a Hebrew word meaning ""splendor"" and also a Hebrew acronym for ""Opening the Treasures of the Mind"". In PE’ER the OUI offers Hebrew-readers free access to academic educational resources: Tens of academic textbooks in a full electronic format"	http://ocw.openu.ac.il/	ocw-contact@openu.ac.il	Institutional	schema:Service			IL
	673318	PEOI (Professional Education Organization International)	PEOI is a platform where anyone can study complete university courses, take tests, participate in monitored class discussions, submit assignments and earn course completion certificates free of charge. In 2010, PEOI has 7000 registered students from 202 c	http://www.peoi.org/		National	schema:Service		New York	US
	673319	PHORUS	The Public Health Open Resources in the University Sector (PHORUS) project is part of an intitiative to release open educational resources focused on public health in the Higher Education sector	http://phorus.health.heacademy.ac.uk/		National	foaf:Project			GB
	673320	POCKET	This Project aimed to investigate the potential of migrating open content approaches in a range of disciplines across a number of different higher education institutions.	http://www.derby.ac.uk/pocket		National	foaf:Project			GB
	673321	Podcampus Project	Podcampus is a podcasting platform for scientific and research contributions. Lectures and courses of interest are recorded and published as audio and video files. Some items have been produced exclusively for Podcampus. Producers are research institutions, academies and educational institutions from all over Germany, Austria and Switzerland.	http://www.podcampus.de		National	schema:Service			CH
	673322	Primary and secondary school mathematics.	This Online Educational Resource (OER) examines in detail (how, when and where) 1000 commonly used content items and standards are being used in existing and developing paper and OER student textbook series. Information is organized by age level	http://www.k-12math.info/		National	schema:Service			US
	673324	Qatar Foundation International	Qatar Foundation for Education, Science and Community Development is a private, non-profit organization that serves the people of Qatar by supporting and operating programs in three core mission areas: education, science and research, and community development. The Foundation strives to nurture the future leaders of Qatar. By example and by sharing its experience, the Foundation also contributes to human development nationally, regionally, and internationally. In all of its activities, the Foundation promotes a culture of excellence in Qatar and furthers its role in supporting an innovative and open society that aspires to develop sustainable human capacity, social, and economic prosperity for a knowledge-based economy.	http://www.qf.org.qa/	info@qfi.org.	Institutional	schema:Organization			QA
	673326	Qedoc	Qedoc provides interactive learning resources which centre on quiz-making and quiz-taking. Qedoc learning modules are self-contained modifiable pieces of learning software which you can download to play with, learn from, modify and upload again.	http://www.qedoc.org/en/index.php?title=Main_Page		Institutional	schema:Service			US
	673327	Rai Foundation	"Rai Foundation is a philanthropic trust, addressing various socio-cultural concerns of India and its people. It aspires to create a milieu fit to live with dignity.
Rai Foundation is an innovative center of higher education in India and a key player in shaping the education ecosystem in the country. We are committed to affirmative action for equity and inclusiveness for all sections of society, especially for women from less privileged backgrounds. Our vision is to provide access to quality education to girls and youth worldwide at the ""bottom of the pyramid."""	www.raifoundation.org	delhi@raifoundation.org	Institutional	schema:Organization		New Dehli	IN
	673329	"Red-ink Open	Educational Resources"	The red-ink doctoral school is committed to enhacing the quality of higher education in digital technologies for education. To this purpose, red-ink releases part of the content developed for its doctoral students as Open Educational Resources.	http://www.red-ink.ch/oer/	isabella.rega@usi.ch	Global	schema:Organization	via Buffi 13	Lugano	CH
	673330	Repository.ac.nz - the New Zealand OER Project	The objective of the project is to develop courseware that will be freely available to for all tertiary education institutions in New Zealand. On the basis of a successful pilot, a further output of the project is to develop a model to initiate future	http://www.repository.ac.nz/		National	foaf:Project			NZ
	673331	Intute	Intute is a free online service that helps you to find web resources for your studies and research.	http://www.intute.ac.uk/		Institutional	schema:Service			GB
